DEPARTAMENTO;CIUDAD;NOMBRE CONCESIONARIO;NOMBRE EMISORA;CODIGO EMISORA;DISTINTIVO;FRECUENCIA;BANDA;"CLASE DE
EMISORA"
AMAZONAS;LETICIA;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;CARACOL;52626;HJF90;93.9 MHz;FM;COMERCIAL
AMAZONAS;LETICIA;SOCIEDAD  ONDAS DEL AMAZONAS LTDA.;ONDAS DEL AMAZONAS;51838;HJOU;1260 kHz;AM;COMERCIAL
AMAZONAS;LETICIA;RADIO TELEVISION NACIONAL DE COLOMBIA;RADIO NACIONAL DE COLOMBIA;53260;HKR74;95.5 MHz;FM;INTERES PUBLICO
AMAZONAS;PUERTO NARINO;RADIO TELEVISION NACIONAL DE COLOMBIA;RADIO NACIONAL DE COLOMBIA;53559;HJD27;102.9 MHz;FM;INTERES PUBLICO
AMAZONAS;LETICIA;POLICIA NACIONAL DE COLOMBIA;POLICIA NACIONAL 98.9 LETICIA;52902;HJF91;98.9 MHz;FM;INTERES PUBLICO
AMAZONAS;LETICIA;GOBERNACION DEL AMAZONAS;EMISORA DE INTERES PUBLICO EN LETICIA;53310;HJC32;97.9 MHz;FM;INTERES PUBLICO
ANTIOQUIA;MEDELLIN;CORPORACION SANTA MARIA DE LA PAZ;1560 AM SANTA MARIA DE LA PAZ;51818;HJXZ;1560 kHz;AM;COMERCIAL
ANTIOQUIA;GUARNE;KOKORICOLOR LIMITADA;ALFA STEREO 106.3 LA FM;52099;HJA74;106.3 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;PROMOTORA RADIAL COLOMBIANA S.A.S;ANTENA DOS;51851;HJPL;670 kHz;AM;COMERCIAL
ANTIOQUIA;APARTADO;BANAGRO S.A.S;APARTADO ESTEREO ;52101;HJB70;103.3 MHz;FM;COMERCIAL
ANTIOQUIA;ENVIGADO;RADIO INTEGRIDAD S.A;BBN RADIO;51515;HJIP;1590 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;BESAME;51877;HJDW;94.9 MHz;FM;COMERCIAL
ANTIOQUIA;BELLO;FAMOSA S.A.S;BLU RADIO;52165;HJD78;97.9 MHz;FM;COMERCIAL
ANTIOQUIA;BELMIRA;PARROQUIA DE NUESTRA SENORA DEL ROSARIO;BRISAS DEL RIO CHICO;52174;HJA26;1540 kHz;AM;COMERCIAL
ANTIOQUIA;MEDELLIN;CAMARA DE COMERCIO DE MEDELLIN PARA ANTIOQUIA;CAMARA FM;51988;HJUC;95.9 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;CARACOL RADIO;51501;HJDK;750 kHz;AM;COMERCIAL
ANTIOQUIA;SABANETA;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;CARACOL RADIO RADIOACTIVA;52179;HJE27;90.3 MHz;FM;COMERCIAL
ANTIOQUIA;MEDELLIN;RADIO SISTEMA FEDERAL LTDA.;COLMUNDO RADIO MEDELLIN;51525;HJNZ;1440 kHz;AM;COMERCIAL
ANTIOQUIA;FRONTINO;HERNANDO MARTINEZ BORJA;ECOS DE FRONTINO;52164;HJD23;1420 kHz;AM;COMERCIAL
ANTIOQUIA;BELLO;RADIO CADENA NACIONAL S.A.S;EL SOL 107.9;52076;HJXW;107.9 MHz;FM;COMERCIAL
ANTIOQUIA;NARINO;PARROQUIA DE NUESTRA SENORA DE LAS MERCEDES;EMISORA LA VOZ DE NARINO - TU VOZ PARA VOS;51987;HJNP;1340 kHz;AM;COMERCIAL
