Frequency (MHz),Timestamp
91.480,Mon Feb  5 18:26:47 2024
91.483,Mon Feb  5 18:26:47 2024
91.483,Mon Feb  5 18:26:48 2024
91.495,Mon Feb  5 18:26:48 2024
91.551,Mon Feb  5 18:26:49 2024
91.571,Mon Feb  5 18:26:52 2024
91.500,Mon Feb  5 18:26:52 2024
91.883,Mon Feb  5 18:26:55 2024
91.558,Mon Feb  5 18:26:55 2024
91.502,Mon Feb  5 18:26:58 2024
91.897,Mon Feb  5 18:27:00 2024
91.518,Mon Feb  5 18:27:02 2024
91.615,Mon Feb  5 18:27:04 2024
91.571,Mon Feb  5 18:27:06 2024
91.483,Mon Feb  5 18:27:08 2024
91.870,Mon Feb  5 18:27:08 2024
91.524,Mon Feb  5 18:27:13 2024
91.471,Mon Feb  5 18:27:13 2024
91.526,Mon Feb  5 18:27:14 2024
91.997,Mon Feb  5 18:27:16 2024
91.547,Mon Feb  5 18:27:17 2024
91.594,Mon Feb  5 18:27:19 2024
91.964,Mon Feb  5 18:27:19 2024
91.537,Mon Feb  5 18:27:19 2024
91.526,Mon Feb  5 18:27:19 2024
91.918,Mon Feb  5 18:27:21 2024
91.512,Mon Feb  5 18:27:22 2024
91.860,Mon Feb  5 18:27:25 2024
91.906,Mon Feb  5 18:27:31 2024
